Year,Chapter,Total
2025,BSSU,81616.22
2025,CWA9009,14452.37
2025,KIWA,4890.27
2025,LA Labor Fed,8694.58
2025,NVLF,5200.14
2025,PROTEC17,24598.15
2025,SEIU121RN,2652.9
2025,SEIU2015,140821.42
2025,SEIU221,14863.4
2025,SEIU925,33227.09
2025,UDWA,57026.48
2025,UFCW21,37104.49
2025,UFCW3000,35563.53
2025,UFCW367,4833.19
2025,Working WA-FWC,9995.25
2024,BSSU,68770.46
2024,CWA9009,976.44
2024,LA Labor Fed,8283.67
2024,NVLF,3308.83
2024,PROTEC17,21149.9
2024,SEIU121RN,18820.74
2024,SEIU2015,131022.62
2024,SEIU221,11562.15
2024,SEIU925,26925.75
2024,UFCW21,68224.5
2024,Working WA-FWC,11651.44
2023,BSSU,61641.62
2023,LA Labor Fed,3022.55
2023,PROTEC17,18738.45
2023,SEIU121RN,23293.98
2023,SEIU2015,145430.96
2023,SEIU221,11196.77
2023,SEIU925,28292.69
2023,UFCW21,49956
2023,Working WA-FWC,10214.36
