Year,Expense,Total
2026,Taxi,50.67
2026,Arbitration,50
2026,Arbitration,1.15
2026,Subsciption Service,210.78
2026,Travelperk,1611.91
2026,Travelperk,117.35
2026,Check,22881.08
2026,Check,2984.5
2026,Check,2776
2026,Venmo,257.48
2026,Subsciption Service,42.55
2026,Subsciption Service,36
2026,Parking,111
2026,Food,44.81
2026,Food,584.05
2026,Taxi,49.48
2026,Travelperk,1039.67
2026,Travelperk,547.56
2026,Travelperk,1460.65
2026,Office Supplies,162.72
2026,Venmo,217.22
2026,Check,519.67
2026,Parking,111
2026,Taxi,43.15
2026,Travelperk,748.44
2026,Database,441.4
2026,Travelperk,1447.78
2026,Check,338.95
2026,Subsciption Service,17.45
2026,Transaction Fees,15
2026,Parking,74
2026,Court Reporting,3881.75
2026,Court Reporting,135.86
2026,Venmo,539.81
2026,Travelperk,208.91
2026,Travelperk,214.44
2026,Travelperk,885.92
2026,Travelperk,1153.52
2026,Travelperk,251.1
2026,Travelperk,190.03
2026,Travelperk,197.85
2026,Travelperk,197.85
2026,Travelperk,197.85
2026,Travelperk,190.03
2026,Travelperk,780.46
2026,Travelperk,882.5
2026,Travelperk,1120.31
2026,Accounting Services,500
2026,Venmo,179.21
2026,Venmo,624.12
2026,Subsciption Service,210.59
2025,Travelperk,116.19
2025,Subsciption Service,42.52
2025,Check,9.8
2025,Check,430.77
2025,Parking,148
2025,Check,83.8
2025,Check,40.2
2025,Travelperk,1364.4
2025,Parking,111
2025,Database,331.05
2025,Check,134.65
2025,Subsciption Service,17.43
2025,Accounting Services,500
2025,Travelperk,1323.39
2025,Check,1725
2025,Check,797.8
2025,Check,194.6
2025,Transaction Fees,15
2025,Check,1054.68
2025,Check,300
2025,Check,252.6
2025,Subsciption Service,210.59
2025,Travelperk,114.8
2025,Subsciption Service,42.52
2025,Check,1633
2025,Check,505.4
2025,Accounting Services,500
2025,Check,671.28
2025,Travelperk,37
2025,Travelperk,690.03
2025,Travelperk,21.81
2025,Travelperk,37
2025,Travelperk,231.83
2025,Travelperk,79.88
2025,Database,993.15
2025,Travelperk,363.3
2025,Travelperk,350.74
2025,Travelperk,793.55
2025,Parking,111
2025,Travelperk,515.09
2025,Subsciption Service,17.43
2025,Travelperk,488.18
2025,Travelperk,454.02
2025,Travelperk,638.27
2025,Travelperk,634.05
2025,Travelperk,321.06
2025,Travelperk,1207.38
2025,Travelperk,1207.38
2025,Transaction Fees,15
2025,Travelperk,560.63
2025,Travelperk,1343.02
2025,Parking,222
2025,Travelperk,483
2025,Travelperk,443.66
2025,Travelperk,493.35
2025,Travelperk,556.87
2025,Travelperk,951.27
2025,Subsciption Service,210.59
2025,Venmo,463.53
2025,Travelperk,114.09
2025,Travelperk,776.44
2025,Travelperk,1143.89
2025,Travelperk,623.78
2025,Travelperk,313.23
2025,Travelperk,343.26
2025,Subsciption Service,42.52
2025,Travelperk,12.1
2025,Travelperk,70
2025,Travelperk,1787.89
2025,Parking,148
2025,Check,1840
2025,Travelperk,602.05
2025,Travelperk,1669.8
2025,Travelperk,30
2025,Travelperk,555.46
2025,Travelperk,555.46
2025,Check,1176
2025,Travelperk,0.15
2025,Travelperk,4.99
2025,Travelperk,938.46
2025,Travelperk,389.83
2025,Accounting Services,500
2025,Travelperk,1577.53
2025,Database,931.05
2025,Travelperk,916.12
2025,Subsciption Service,17.43
2025,Travelperk,612.58
2025,Check,224.79
2025,Travelperk,144.2
2025,Parking,111
2025,Transaction Fees,15
2025,Check,143.64
2025,Subsciption Service,203.26
2025,Subsciption Service,42.52
2025,Travelperk,278.99
2025,Travelperk,450.24
2025,Check,1771
2025,Travelperk,116.32
2025,Travelperk,1405.92
2025,Accounting Services,500
2025,Travelperk,838.45
2025,Travelperk,125.04
2025,Travelperk,421.26
2025,Transaction Fees,15
2025,Database,331.05
2025,Check,204.4
2025,Subsciption Service,17.43
2025,Check,300
2025,Travelperk,822.12
2025,Subsciption Service,201.43
2025,Subsciption Service,42.52
2025,Check,2323
2025,Venmo,179.58
2025,Venmo,311.06
2025,Check,226.19
2025,Check,58
2025,Check,75
2025,Subsciption Service,442.61
2025,Check,102.8
2025,Accounting Services,500
2025,Database,4531.05
2025,Subsciption Service,17.43
2025,Transaction Fees,15
2025,Subsciption Service,42.52
2025,Check,1740.75
2025,Check,194.89
2025,Subsciption Service,187.83
2025,Check,52
2025,Check,529
2025,Accounting Services,500
2025,Database,331.05
2025,Subsciption Service,17.43
2025,Transaction Fees,15
2025,Subsciption Service,42.52
2025,Subsciption Service,183.12
2025,Check,241.4
2025,Check,5952
2025,Check,178
2025,Check,75
2025,Check,300
2025,Accounting Services,500
2025,Database,331.05
2025,Check,43.96
2025,Subsciption Service,17.43
2025,Transaction Fees,15
2025,Transaction Fees,15
2025,Check,261.73
2025,Check,475.77
2025,Check,139.08
2025,Subsciption Service,42.52
2025,Subsciption Service,183.12
2025,Check,50
2025,Accounting Services,900
2025,Check,42
2025,Check,184
2025,Check,712
2025,Check,130.31
2025,Check,22.51
2025,Check,264.08
2025,Check,39.42
2025,Database,331.05
2025,Check,107
2025,Check,47.98
2025,Check,59.96
2025,Subsciption Service,17.43
2025,Check,278.9
2025,Subsciption Service,42.52
2025,Check,493.99
2025,Check,108.4
2025,Check,58
2025,Accounting Services,500
2025,Subsciption Service,183.12
